"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality"
"66121","08/29/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.816068266,-73.908552085,"(40.816068266, -73.908552085)",5070,"654 Westchester Ave, Bronx, NY 10455, USA","654","Westchester Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455","1603",NA
"1391","01/07/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",47,40.891258452,-73.860851139,"(40.891258452, -73.860851139)",5071,"643 E 229th St, Bronx, NY 10466, USA","643","East 229th Street","East Bronx","Bronx","Bronx County","New York","United States","10466","3843",NA
"71526","09/15/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",44,40.826284877,-73.920707634,"(40.826284877, -73.920707634)",5072,"234-236 E 161st St, Bronx, NY 10451, USA","234-236","East 161st Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451","3543",NA
"70662","09/12/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BRONX",43,40.830532023,-73.867955867,"(40.830532023, -73.867955867)",5073,"1222 Commonwealth Ave, Bronx, NY 10472, USA","1222","Commonwealth Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472","4605",NA
"1437","01/07/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",41,40.815370918,-73.886699777,"(40.815370918, -73.886699777)",5074,"737 Hunts Point Ave, Bronx, NY 10474, USA","737","Hunts Point Avenue","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"17790","03/20/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",43,40.822985062,-73.859523363,"(40.822985062, -73.859523363)",5075,"800 Bolton Ave, Bronx, NY 10473, USA","800","Bolton Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA
"58635","08/05/2015","ROBBERY","FELONY","BRONX",43,40.831430363,-73.871105128,"(40.831430363, -73.871105128)",5076,"1260 Croes Ave, Bronx, NY 10472, USA","1260","Croes Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"33488","05/14/2015","DISORDERLY CONDUCT","VIOLATION","BRONX",50,40.880975335,-73.905450456,"(40.880975335, -73.905450456)",5077,"233 W 232nd St, Bronx, NY 10463, USA","233","West 232nd Street","West Bronx","Bronx","Bronx County","New York","United States","10463",NA,NA
"86964","11/07/2015","HARRASSMENT 2","VIOLATION","BRONX",48,40.852841995,-73.88417431,"(40.852841995, -73.88417431)",5078,"2327 Crotona Ave, Bronx, NY 10458, USA","2327","Crotona Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"28671","04/27/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.838861771,-73.910306061,"(40.838861771, -73.910306061)",5079,"280 E 171st St, Bronx, NY 10457, USA","280","East 171st Street","West Bronx","Bronx","Bronx County","New York","United States","10457","8901",NA
"93296","12/01/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",48,40.848398793,-73.893203842,"(40.848398793, -73.893203842)",5080,"2041 Lafontaine Ave, Bronx, NY 10457, USA","2041","Lafontaine Avenue","Tremont","Bronx","Bronx County","New York","United States","10457",NA,NA
"61245","08/17/2015","PETIT LARCENY","MISDEMEANOR","BRONX",41,40.814986262,-73.886299423,"(40.814986262, -73.886299423)",5081,"701 Hunts Point Ave, Bronx, NY 10474, USA","701","Hunts Point Avenue","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"93061","11/30/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",49,40.866008735,-73.869143605,"(40.866008735, -73.869143605)",5082,"2700-2752 Barker Ave, Bronx, NY 10467, USA","2700-2752","Barker Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","7304",NA
"100382","12/29/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",49,40.864368635,-73.865441078,"(40.864368635, -73.865441078)",5083,"2536 Holland Ave, Bronx, NY 10467, USA","2536","Holland Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"34356","05/20/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",47,40.871531622,-73.855790582,"(40.871531622, -73.855790582)",5084,"3211 Boston Rd, Bronx, NY 10469, USA","3211","Boston Road","East Bronx","Bronx","Bronx County","New York","United States","10469","3800",NA
"65477","08/27/2015","PETIT LARCENY","MISDEMEANOR","BRONX",48,40.845163097,-73.890610336,"(40.845163097, -73.890610336)",5085,"713 E Tremont Ave, Bronx, NY 10457, USA","713","East Tremont Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"50817","07/11/2015","FELONY ASSAULT","FELONY","BRONX",40,40.805501602,-73.916477255,"(40.805501602, -73.916477255)",5086,"603 E 137th St, Bronx, NY 10454, USA","603","East 137th Street","West Bronx","Bronx","Bronx County","New York","United States","10454","3101",NA
"14175","03/04/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",41,40.819217902,-73.891241889,"(40.819217902, -73.891241889)",5087,"Bruckner Expy, Bronx, NY 10474, USA",NA,"Bruckner Expressway","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"28731","05/04/2015","GRAND LARCENY","FELONY","BRONX",45,40.840633182,-73.838260594,"(40.840633182, -73.838260594)",5088,"2983-2993 E Tremont Ave, Bronx, NY 10461, USA","2983-2993","East Tremont Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","5722",NA
"49234","07/06/2015","BURGLAR'S TOOLS","MISDEMEANOR","BRONX",46,40.862013514,-73.894277397,"(40.862013514, -73.894277397)",5089,"327 Avenida Carlos D. Ramirez, Bronx, NY 10458, USA","327","Avenida Carlos D. Ramirez","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"93120","11/30/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.883907664,-73.849507305,"(40.883907664, -73.849507305)",5090,"3959 Laconia Ave, Bronx, NY 10466, USA","3959","Laconia Avenue","East Bronx","Bronx","Bronx County","New York","United States","10466","4915",NA
"46547","06/27/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",49,40.860463064,-73.865561049,"(40.860463064, -73.865561049)",5091,"2328 Holland Ave, Bronx, NY 10467, USA","2328","Holland Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","9206",NA
"39570","06/05/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",48,40.844347445,-73.879136334,"(40.844347445, -73.879136334)",5092,"975 E 181st St, Bronx, NY 10460, USA","975","East 181st Street","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"74463","09/26/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",48,40.844990368,-73.882431423,"(40.844990368, -73.882431423)",5093,"2094 Honeywell Ave, Bronx, NY 10460, USA","2094","Honeywell Avenue","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"4136","01/19/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",42,40.8234766,-73.916216227,"(40.8234766, -73.916216227)",5094,"824 Courtlandt Ave, Bronx, NY 10451, USA","824","Courtlandt Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"63777","08/27/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.85324098,-73.853654148,"(40.85324098, -73.853654148)",5095,"1942-1946 Judge Benjamin F. Nolan Way, Bronx, NY 10461, USA","1942-1946","Judge Benjamin F. Nolan Way","East Bronx","Bronx","Bronx County","New York","United States","10461",NA,NA
"97496","12/21/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.863171614,-73.843422669,"(40.863171614, -73.843422669)",5096,"2504-2516 Eastchester Rd, Bronx, NY 10469, USA","2504-2516","Eastchester Road","East Bronx","Bronx","Bronx County","New York","United States","10469","5902",NA
"66142","08/29/2015","FELONY ASSAULT","FELONY","BRONX",52,40.861808753,-73.911916427,"(40.861808753, -73.911916427)",5097,"283 W Fordham Rd, Bronx, NY 10468, USA","283","West Fordham Road","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"54453","07/23/2015","HARRASSMENT 2","VIOLATION","BRONX",48,40.847483502,-73.88335593,"(40.847483502, -73.88335593)",5098,"2145 Southern Blvd, Bronx, NY 10460, USA","2145","Southern Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10460","1403",NA
"61153","08/13/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",43,40.839408457,-73.858711671,"(40.839408457, -73.858711671)",5099,"1511 Metropolitan Ave, Bronx, NY 10462, USA","1511","Metropolitan Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"99288","12/24/2015","OTHER OFFENSES RELATED TO THEF","MISDEMEANOR","BRONX",48,40.85711127,-73.891104011,"(40.85711127, -73.891104011)",5100,"4643 Third Ave, Bronx, NY 10458, USA","4643","Third Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458","7807",NA
"24460","04/19/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.870861324,-73.876582446,"(40.870861324, -73.876582446)",5101,"405 E 204th St, Bronx, NY 10467, USA","405","East 204th Street","West Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"42559","06/15/2015","BURGLARY","FELONY","BRONX",44,40.829685886,-73.921155267,"(40.829685886, -73.921155267)",5102,"123 E 164th St, Bronx, NY 10452, USA","123","East 164th Street","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"61672","08/15/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",50,40.877228977,-73.909046538,"(40.877228977, -73.909046538)",5103,"146-148 W 228th St, Bronx, NY 10463, USA","146-148","West 228th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York"
"22779","04/06/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.873671035,-73.908013649,"(40.873671035, -73.908013649)",5104,"31-49 W 225th St, Bronx, NY 10463, USA","31-49","West 225th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York"
"92947","12/13/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",47,40.892350926,-73.85643986,"(40.892350926, -73.85643986)",5105,"731-733 E 232nd St, Bronx, NY 10466, USA","731-733","East 232nd Street","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA
"32621","05/11/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.836016182,-73.8611293,"(40.836016182, -73.8611293)",5106,"1409 Metropolitan Ave, Bronx, NY 10462, USA","1409","Metropolitan Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"40141","07/13/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.837778868,-73.919450746,"(40.837778868, -73.919450746)",5107,"2 E 169th St, Bronx, NY 10452, USA","2","East 169th Street","West Bronx","Bronx","Bronx County","New York","United States","10452","7800",NA
"86367","11/05/2015","PETIT LARCENY","MISDEMEANOR","BRONX",42,40.822298485,-73.911694131,"(40.822298485, -73.911694131)",5108,"824-858 Washington Ave, Bronx, NY 10451, USA","824-858","Washington Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451","4604",NA
"89055","11/15/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.833388611,-73.910046026,"(40.833388611, -73.910046026)",5109,"1252 Clay Ave, Bronx, NY 10456, USA","1252","Clay Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","3303",NA
"53331","07/21/2015","DANGEROUS DRUGS","FELONY","BRONX",52,40.870950421,-73.891500773,"(40.870950421, -73.891500773)",5110,"2859 Creston Ave, Bronx, NY 10468, USA","2859","Creston Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"74645","09/25/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",43,40.827888685,-73.875191502,"(40.827888685, -73.875191502)",5111,"1144 Stratford Ave, Bronx, NY 10472, USA","1144","Stratford Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"77151","10/04/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",42,40.827368726,-73.902404685,"(40.827368726, -73.902404685)",5112,"1118-1120 Forest Ave, Bronx, NY 10456, USA","1118-1120","Forest Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"68792","09/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",52,40.861186817,-73.90635708,"(40.861186817, -73.90635708)",5113,"2305 University Ave, Bronx, NY 10468, USA","2305","University Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"37013","05/27/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",52,40.875622163,-73.878027234,"(40.875622163, -73.878027234)",5114,"252 E 207th St, Bronx, NY 10467, USA","252","East 207th Street","West Bronx","Bronx","Bronx County","New York","United States","10467","4006",NA
"49485","07/07/2015","FELONY ASSAULT","FELONY","BRONX",44,40.840628474,-73.924384126,"(40.840628474, -73.924384126)",5115,"1316 Plimpton Ave, Bronx, NY 10452, USA","1316","Plimpton Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452","2703",NA
"60980","08/14/2015","HARRASSMENT 2","VIOLATION","BRONX",49,40.85556779,-73.866662642,"(40.85556779, -73.866662642)",5116,"2167-2187 Cruger Ave, Bronx, NY 10462, USA","2167-2187","Cruger Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462","1501",NA
"47582","07/02/2015","HARRASSMENT 2","VIOLATION","BRONX",41,40.821736332,-73.89286726,"(40.821736332, -73.89286726)",5117,"941-957 Police Officer Deon L. Taylor Way, Bronx, NY 10459, USA","941-957","Police Officer Deon L. Taylor Way","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"89559","11/17/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",46,40.85742325,-73.902346124,"(40.85742325, -73.902346124)",5118,"2255-2257 Morris Ave, Bronx, NY 10453, USA","2255-2257","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"2777","01/13/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.814612232,-73.91395502,"(40.814612232, -73.91395502)",5119,"501-541 E 149th St, Bronx, NY 10455, USA","501-541","East 149th Street","West Bronx","Bronx","Bronx County","New York","United States","10455","2848",NA
"27361","04/24/2015","ROBBERY","FELONY","BRONX",49,40.861354575,-73.867486153,"(40.861354575, -73.867486153)",5120,"2401 White Plains Rd, Bronx, NY 10467, USA","2401","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10467","8108",NA
"49577","07/07/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",48,40.853017593,-73.89262168,"(40.853017593, -73.89262168)",5121,"535 E 182nd St, Bronx, NY 10457, USA","535","East 182nd Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"34897","05/18/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",48,40.846820819,-73.899574975,"(40.846820819, -73.899574975)",5122,"4184 Park Ave, Bronx, NY 10457, USA","4184","Park Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457","6005",NA
"70108","10/06/2015","GRAND LARCENY","FELONY","BRONX",43,40.829868672,-73.881384934,"(40.829868672, -73.881384934)",5123,"1242-1244 Evergreen Ave, Bronx, NY 10472, USA","1242-1244","Evergreen Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472","2303",NA
"26463","05/01/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.84486682,-73.90982449,"(40.84486682, -73.90982449)",5124,"146 E 174th St, Bronx, NY 10457, USA","146","East 174th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"74849","09/26/2015","FELONY ASSAULT","FELONY","BRONX",41,40.816122327,-73.897757119,"(40.816122327, -73.897757119)",5125,"775-777 Fox St, Bronx, NY 10455, USA","775-777","Fox Street","Woodstock","Bronx","Bronx County","New York","United States","10455","2001",NA
"76205","10/02/2015","GRAND LARCENY","FELONY","BRONX",48,40.849860907,-73.892326765,"(40.849860907, -73.892326765)",5126,"577 E 180th St, Bronx, NY 10457, USA","577","East 180th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"3411","01/16/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",42,40.825225023,-73.916268224,"(40.825225023, -73.916268224)",5127,"3186-3198 Park Ave, Bronx, NY 10451, USA","3186-3198","Park Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451","4068",NA
"18262","03/19/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",46,40.84932069,-73.912359481,"(40.84932069, -73.912359481)",5128,"1800 Davidson Ave, Bronx, NY 10453, USA","1800","Davidson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"94300","12/15/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BRONX",47,40.898556593,-73.852038756,"(40.898556593, -73.852038756)",5129,"4441 Byron Ave, Bronx, NY 10466, USA","4441","Byron Avenue","East Bronx","Bronx","Bronx County","New York","United States","10466","1236",NA
"93418","12/01/2015","ROBBERY","FELONY","BRONX",52,40.867483777,-73.897403372,"(40.867483777, -73.897403372)",5130,"2663 Jerome Ave, Bronx, NY 10468, USA","2663","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"39629","06/04/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",45,40.818552578,-73.823729046,"(40.818552578, -73.823729046)",5131,"2745 Sampson Ave, Bronx, NY 10465, USA","2745","Sampson Avenue","Throgs Neck","Bronx","Bronx County","New York","United States","10465",NA,NA
"80961","10/17/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",46,40.861102075,-73.900218606,"(40.861102075, -73.900218606)",5132,"2420-2426 Morris Ave, Bronx, NY 10468, USA","2420-2426","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"57339","08/01/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",40,40.813354964,-73.925516954,"(40.813354964, -73.925516954)",5133,"320-326 Morris Ave, Bronx, NY 10451, USA","320-326","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"10237","02/15/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",52,40.867902134,-73.895638333,"(40.867902134, -73.895638333)",5134,"2690 Morris Ave, Bronx, NY 10468, USA","2690","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"31693","05/08/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",40,40.808947727,-73.911133866,"(40.808947727, -73.911133866)",5135,"702-714 St Mary's St, Bronx, NY 10454, USA","702-714","Saint Mary's Street","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"67980","09/05/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",42,40.823948099,-73.908226909,"(40.823948099, -73.908226909)",5136,"551-585 E 163rd St, Bronx, NY 10456, USA","551-585","East 163rd Street","Morrisania","Bronx","Bronx County","New York","United States","10456","7202",NA
"78651","10/09/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",42,40.833033106,-73.9048356,"(40.833033106, -73.9048356)",5137,"3603 Third Ave, Bronx, NY 10456, USA","3603","Third Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"64936","08/25/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",46,40.847771449,-73.907279583,"(40.847771449, -73.907279583)",5138,"157-199 E 176th St, Bronx, NY 10457, USA","157-199","East 176th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"78366","10/08/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.883717045,-73.852805915,"(40.883717045, -73.852805915)",5139,"999 E 223rd St, Bronx, NY 10466, USA","999","East 223rd Street","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA
"79025","10/13/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",46,40.846172676,-73.920149001,"(40.846172676, -73.920149001)",5140,"130 Featherbed Ln, Bronx, NY 10452, USA","130","Featherbed Lane","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"7957","02/05/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.816068266,-73.908552085,"(40.816068266, -73.908552085)",5141,"654 Westchester Ave, Bronx, NY 10455, USA","654","Westchester Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455","1603",NA
"23997","04/11/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",48,40.840516547,-73.879822739,"(40.840516547, -73.879822739)",5142,"2021 Boston Rd, Bronx, NY 10460, USA","2021","Boston Road","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"44193","06/19/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.828867589,-73.876851849,"(40.828867589, -73.876851849)",5143,"1573 Westchester Ave, Bronx, NY 10472, USA","1573","Westchester Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"73932","09/23/2015","DANGEROUS DRUGS","FELONY","BRONX",50,40.884824029,-73.89970201,"(40.884824029, -73.89970201)",5144,"217-229 W 238th St, Bronx, NY 10463, USA","217-229","West 238th Street","West Bronx","Bronx","Bronx County","New York","United States","10463",NA,NA
"57974","10/06/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",45,40.835484477,-73.823543247,"(40.835484477, -73.823543247)",5145,"1102 Fairfax Ave, Bronx, NY 10465, USA","1102","Fairfax Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","1405",NA
"28775","04/29/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",45,40.878622771,-73.83069722,"(40.878622771, -73.83069722)",5146,"901-945 Co Op City Blvd, Bronx, NY 10475, USA","901-945","Co Op City Boulevard","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA
"84858","11/01/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.826284877,-73.920707634,"(40.826284877, -73.920707634)",5147,"234-236 E 161st St, Bronx, NY 10451, USA","234-236","East 161st Street","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451","3543",NA
"11839","02/22/2015","CRIMINAL TRESPASS","MISDEMEANOR","BRONX",48,40.841511746,-73.884081998,"(40.841511746, -73.884081998)",5148,"1938-1950 Daly Ave, Bronx, NY 10460, USA","1938-1950","Daly Avenue","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"28905","04/28/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.862413323,-73.831208468,"(40.862413323, -73.831208468)",5149,"1877-1899 E Gun Hill Rd, Bronx, NY 10469, USA","1877-1899","East Gun Hill Road","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA
"80352","10/15/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.836016182,-73.8611293,"(40.836016182, -73.8611293)",5150,"1409 Metropolitan Ave, Bronx, NY 10462, USA","1409","Metropolitan Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"26677","04/20/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.842801995,-73.838609513,"(40.842801995, -73.838609513)",5151,"1978 Waters Pl, Bronx, NY 10461, USA","1978","Waters Place","Middletown - Pelham Bay","Bronx","Bronx County","New York","United States","10461",NA,NA
"37873","05/31/2015","GRAND LARCENY","FELONY","BRONX",49,40.862642695,-73.83609936,"(40.862642695, -73.83609936)",5152,"1725-1823 Mace Ave, Bronx, NY 10469, USA","1725-1823","Mace Avenue","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA
"68545","09/05/2015","FELONY ASSAULT","FELONY","BRONX",44,40.828723865,-73.923190768,"(40.828723865, -73.923190768)",5153,"930-958 Walton Ave, Bronx, NY 10452, USA","930-958","Walton Avenue","Concourse","Bronx","Bronx County","New York","United States","10452",NA,NA
"76959","10/06/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",42,40.833501587,-73.89742325,"(40.833501587, -73.89742325)",5154,"681 E 170th St, Bronx, NY 10456, USA","681","East 170th Street","West Bronx","Bronx","Bronx County","New York","United States","10456","2334",NA
"39595","06/05/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",44,40.831982041,-73.923490551,"(40.831982041, -73.923490551)",5155,"1051-1097 River Ave, Bronx, NY 10452, USA","1051-1097","River Avenue","Concourse","Bronx","Bronx County","New York","United States","10452",NA,NA
"24803","04/14/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",52,40.865383016,-73.893201875,"(40.865383016, -73.893201875)",5156,"2654 Valentine Ave, Bronx, NY 10458, USA","2654","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"41082","06/10/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",46,40.84741603,-73.916280051,"(40.84741603, -73.916280051)",5157,"1647 Macombs Rd, Bronx, NY 10453, USA","1647","Macombs Road","West Bronx","Bronx","Bronx County","New York","United States","10453","7659",NA
"2724","01/13/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.839739531,-73.913178032,"(40.839739531, -73.913178032)",5158,"1426 Grand Concourse, Bronx, NY 10456, USA","1426","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"51482","07/15/2015","HARRASSMENT 2","VIOLATION","BRONX",46,40.854742994,-73.914373035,"(40.854742994, -73.914373035)",5159,"1924-1928 Loring Pl S, Bronx, NY 10453, USA","1924-1928","Loring Place South","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"1714","01/14/2015","FORGERY","FELONY","BRONX",40,40.81589916,-73.917230106,"(40.81589916, -73.917230106)",5160,"410 E 149th St, Bronx, NY 10455, USA","410","East 149th Street","West Bronx","Bronx","Bronx County","New York","United States","10455","3905",NA
"87447","11/09/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",40,40.820082016,-73.921004063,"(40.820082016, -73.921004063)",5161,"281 E 153rd St, Bronx, NY 10451, USA","281","East 153rd Street","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"83462","10/27/2015","HARRASSMENT 2","VIOLATION","BRONX",43,40.819431994,-73.845552435,"(40.819431994, -73.845552435)",5162,"2275 Randall Ave, Bronx, NY 10473, USA","2275","Randall Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA
"688","01/03/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.899198384,-73.858230086,"(40.899198384, -73.858230086)",5163,"4373-4377 Bronx Blvd, Bronx, NY 10466, USA","4373-4377","Bronx Boulevard","East Bronx","Bronx","Bronx County","New York","United States","10466","1397",NA
"48702","07/04/2015","OFFENSES AGAINST THE PERSON","MISDEMEANOR","BRONX",40,40.819596981,-73.918186548,"(40.819596981, -73.918186548)",5164,"681 Courtlandt Ave, Bronx, NY 10451, USA","681","Courtlandt Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451","5065",NA
"100245","12/30/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",40,40.812699137,-73.921619736,"(40.812699137, -73.921619736)",5165,"375 E 143rd St, Bronx, NY 10454, USA","375","East 143rd Street","West Bronx","Bronx","Bronx County","New York","United States","10454","1258",NA
